DISTRICT,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL RAINFALL,AVG_TEMP,HUMIDITY,ELEVATION,FLOOD_RISK_INDEX,FLOODS
Begusarai,2009,10.723,12.426,24.997,30.516,71.271,257.314,264.558,267.028,134.99,60.086,35.883,10.745,1157.192,26.04,68.87,538.54,0.35,YES
Darbhanga,2013,19.282,16.457,34.055,40.717,102.66,376.718,422.963,318.733,191.566,89.283,57.184,15.977,1692.789,25.34,65.76,756.64,0.404,YES
Noida,2004,8.361,7.415,15.826,18.594,44.29,163.072,193.57,156.796,80.672,36.087,18.826,6.897,753.56,27.91,35.49,279.17,0.16,NO
Noida,1996,13.638,14.117,25.389,43.272,95.317,267.205,344.585,330.782,161.388,74.854,43.247,13.33,1366.91,25.01,70.87,214.61,0.441,YES
Dibrugarh,2010,11.985,13.295,28.585,42.107,112.164,262.877,349.4,298.901,165.477,77.827,37.925,12.029,1418.425,18.56,48.18,484.23,0.311,YES
Madurai,2015,3.521,3.599,7.409,11.026,24.34,61.571,89.555,64.97,43.81,16.118,11.288,4.23,362.523,31.82,27.16,218.82,0.059,NO
Amravati,2003,25.006,23.552,60.099,95.184,165.235,534.335,706.901,525.236,266.887,116.309,70.635,24.159,2696.356,28.37,75.06,38.21,0.728,YES
Bengaluru,2010,8.883,9.773,15.222,24.342,54.801,181.203,202.06,158.323,88.797,50.018,32.203,8.88,880.619,28.38,70.88,163.79,0.359,NO
Mumbai,2007,30.22,24.82,52.618,84.075,170.334,517.839,639.179,549.265,317.697,121.988,76.559,29.245,2631.149,28.72,84.47,32.82,0.759,YES
Begusarai,1994,4.0,3.967,9.294,10.088,28.425,76.247,98.049,77.214,42.307,16.996,11.375,3.495,379.158,22.75,30.36,184.44,0.081,NO
Mumbai,1992,28.799,32.291,52.471,87.994,231.407,567.759,857.474,505.341,424.145,149.792,77.794,32.396,2990.463,33.21,75.9,83.72,0.779,YES
Nizamabad,2012,22.794,24.873,36.991,58.371,164.745,548.472,577.733,468.954,242.265,107.274,61.493,22.95,2185.227,28.91,72.56,41.09,0.622,NO
Jamnagar,2015,13.288,12.384,26.251,36.37,96.382,222.216,346.995,225.752,146.138,53.531,38.32,12.318,1215.828,21.11,80.09,819.76,0.373,NO
Jalpaiguri,2013,25.882,19.923,48.848,75.221,152.031,507.72,464.121,475.87,330.068,118.863,67.105,23.946,2410.134,25.28,65.21,1709.79,0.403,YES
Jhansi,2008,11.216,12.102,22.501,35.858,78.459,205.481,238.733,230.381,100.34,45.729,28.661,11.9,1110.624,24.05,64.51,239.7,0.362,NO
Mumbai,2014,17.636,21.698,37.17,61.26,144.156,407.778,484.585,349.548,249.349,109.396,66.393,20.893,2072.349,23.85,78.97,15.3,0.634,YES
Belagavi,2010,4.879,4.39,9.941,14.859,32.305,95.589,118.596,99.475,48.267,20.064,12.112,4.545,475.659,25.65,45.94,63.13,0.186,NO
Guwahati,2001,23.726,17.596,45.812,76.204,163.187,362.224,596.875,464.847,262.98,115.525,58.575,22.808,2269.257,27.9,71.61,27.9,0.635,YES
Silchar,2022,26.221,23.289,47.69,70.808,166.836,458.914,577.365,526.288,247.947,127.404,78.929,21.638,2502.297,27.66,84.46,49.91,0.733,YES
Jorhat,1993,11.915,10.906,26.743,35.28,96.43,271.892,309.399,291.594,121.398,68.712,35.055,11.855,1200.695,32.5,75.46,304.08,0.419,NO
Goalpara,1996,11.079,9.93,24.552,30.52,76.496,219.589,319.269,230.578,105.314,52.851,29.4,12.198,1161.445,27.56,74.8,207.2,0.422,YES
Coimbatore,2011,16.542,17.625,44.09,59.868,116.034,406.182,435.361,406.088,215.851,84.8,50.354,19.301,1876.119,15.64,75.51,381.79,0.533,NO
Vadodara,2022,27.305,25.953,47.877,61.572,163.949,437.766,711.133,480.479,309.271,120.806,78.288,26.818,2502.101,25.96,69.76,23.42,0.67,YES
Nagaon,2006,36.14,27.978,64.745,90.388,193.34,556.584,767.378,568.904,355.468,156.315,109.889,29.41,2931.468,26.21,78.19,10.36,0.789,YES
Kota,2013,1.874,2.196,4.019,7.535,14.048,42.314,56.084,44.311,28.865,11.264,7.82,2.207,211.181,28.94,47.68,0.0,0.154,NO
Erode,2023,24.863,20.972,52.699,63.718,176.919,479.337,553.774,505.908,263.735,125.077,68.508,21.174,2200.427,25.9,80.67,0.0,0.667,NO
Belagavi,2017,21.761,21.157,40.305,64.73,153.556,318.198,553.562,452.96,289.754,92.396,56.82,21.527,2108.535,24.35,72.27,58.89,0.605,YES
Patna,2011,11.623,11.027,23.996,36.196,78.711,224.723,309.095,214.052,128.189,63.026,43.2,13.433,1251.564,26.6,67.11,254.17,0.398,NO
Allahabad,2006,9.149,6.681,14.008,24.483,61.838,173.448,176.412,181.563,97.031,43.931,22.977,6.894,815.227,24.17,67.71,388.18,0.302,NO
Arrah,2023,15.338,14.806,24.761,39.592,105.787,288.67,371.291,268.012,193.857,69.925,32.382,14.293,1414.213,16.22,81.19,731.79,0.426,YES
Vellore,1995,6.176,5.997,11.151,14.058,38.118,110.009,136.002,123.608,67.558,33.143,17.078,6.532,582.399,36.42,37.83,139.32,0.158,NO
Bharatpur,1995,3.715,3.733,6.777,9.437,25.271,85.007,86.751,68.247,42.892,21.4,11.769,4.078,363.688,29.74,30.51,114.08,0.088,NO
Surat,2023,18.924,21.651,43.466,78.834,176.08,521.774,479.281,524.343,301.835,107.083,69.397,21.488,2359.709,33.97,77.56,23.27,0.679,YES
Goalpara,1990,15.799,16.67,36.386,43.363,106.43,283.867,429.394,268.787,194.823,69.987,48.078,17.797,1595.286,30.51,71.79,186.25,0.491,NO
Durgapur,1999,26.709,28.77,51.269,83.496,166.343,602.813,674.477,551.215,340.12,113.062,78.6,28.529,2814.855,26.62,75.16,101.93,0.741,YES
Rajkot,2010,4.609,5.703,10.546,14.246,29.432,89.033,124.792,94.386,63.373,23.578,14.213,5.444,468.344,37.38,36.32,188.93,0.124,NO
Dibrugarh,1994,8.634,11.379,20.887,37.819,63.119,225.545,245.675,190.344,119.914,49.093,26.826,9.57,969.718,30.42,49.39,181.1,0.276,NO
Goalpara,1991,12.645,11.747,25.864,35.717,89.817,253.661,320.561,212.28,163.376,56.031,36.122,11.476,1226.872,23.69,55.8,444.08,0.316,NO
Kota,2011,6.037,5.928,12.769,18.062,40.317,98.338,163.11,126.091,78.586,29.416,18.625,5.603,599.431,28.74,49.15,197.44,0.205,NO
Belagavi,1991,23.418,24.585,55.27,73.821,176.159,518.317,634.163,557.378,280.915,127.774,79.507,21.147,2530.24,28.9,83.39,82.43,0.729,YES
Noida,1999,26.09,28.825,49.047,67.97,186.208,517.408,732.086,530.531,276.195,114.507,82.798,26.321,2541.424,27.35,73.69,64.92,0.69,YES
Noida,2023,2.764,2.828,5.806,8.652,16.532,62.37,78.428,65.67,38.676,15.879,8.102,2.864,278.023,34.13,55.12,213.72,0.171,NO
Jalpaiguri,2005,6.449,4.735,11.297,14.37,41.558,130.119,144.646,108.925,71.262,30.066,18.162,5.073,577.497,27.57,71.53,344.92,0.282,NO
Meerut,2011,9.791,9.734,20.929,28.457,80.114,192.733,227.525,171.983,108.802,43.971,28.226,11.17,955.794,30.2,57.14,356.79,0.284,NO
Medak,2001,19.188,19.346,43.879,58.214,141.825,464.577,558.717,469.041,285.537,127.416,69.955,25.174,2246.686,29.9,73.07,11.79,0.64,YES
Anand,2013,27.637,28.412,56.753,84.367,195.347,646.473,731.33,522.419,405.027,131.566,81.99,25.073,2734.432,25.96,86.28,53.55,0.783,NO
Karimnagar,1999,5.676,6.191,9.012,15.447,41.21,94.696,139.999,92.131,66.142,26.685,20.654,5.69,529.577,23.54,48.75,228.12,0.186,NO
Rajkot,2024,3.006,3.812,8.315,11.046,25.658,73.685,101.275,67.174,43.502,21.188,10.961,3.631,384.084,27.08,64.04,240.91,0.227,NO
Madurai,2021,22.122,27.31,53.488,84.442,177.542,529.257,661.032,439.946,380.28,140.809,77.566,25.078,2565.279,34.34,72.8,35.35,0.694,YES
Akola,1996,10.14,9.04,19.545,25.31,57.194,176.192,224.097,186.673,123.215,49.751,30.404,8.298,895.442,29.92,62.91,480.98,0.282,NO
Goalpara,2010,32.285,36.487,74.616,107.203,219.761,596.026,851.036,605.999,417.586,187.135,101.686,28.922,3326.641,28.36,87.34,56.78,0.896,YES
Anand,2009,10.407,11.914,22.971,34.719,90.338,226.968,282.845,238.1,116.15,52.388,30.467,11.684,1096.561,31.56,64.65,238.03,0.36,YES
Nizamabad,2015,17.034,19.814,36.702,54.269,143.276,325.175,446.023,485.053,266.742,76.771,53.417,18.875,1875.757,28.1,69.07,62.1,0.547,NO
Gaya,1993,6.64,9.291,15.507,22.761,56.178,160.261,176.757,174.952,94.272,43.713,21.857,6.342,773.077,30.45,24.12,304.1,0.109,NO
Bhavnagar,2011,4.632,4.35,9.047,13.645,28.407,78.033,100.329,85.472,49.95,16.547,12.007,4.623,405.028,31.54,62.98,127.26,0.241,NO
Akola,2004,15.074,18.429,27.254,46.804,95.132,275.719,344.999,368.141,176.348,70.083,45.215,14.74,1507.579,18.77,70.08,656.56,0.403,YES
Chitradurga,2010,16.606,12.227,27.786,49.978,102.261,283.993,353.273,329.414,196.843,84.15,40.72,13.483,1535.922,22.44,64.77,422.57,0.416,NO
Begusarai,2004,6.146,5.632,10.369,16.296,33.863,104.53,140.166,114.288,65.646,27.07,17.77,5.463,551.875,31.75,32.0,296.39,0.105,NO
Jamnagar,2011,11.226,10.856,19.349,37.547,94.303,215.612,256.484,220.402,145.12,55.79,33.413,11.654,1175.192,26.08,54.31,283.73,0.322,NO
Mumbai,2017,28.214,28.961,54.216,81.174,157.946,610.916,715.929,643.06,352.319,138.633,71.344,23.369,2793.224,27.29,84.77,44.39,0.789,YES
Goalpara,2003,10.479,10.018,21.75,31.105,63.931,146.068,251.46,170.425,111.723,49.38,26.661,8.702,948.503,28.14,62.83,433.36,0.298,NO
Nagpur,2016,8.306,6.816,15.366,23.013,58.568,155.147,203.175,163.754,124.706,46.142,25.397,8.954,856.899,24.49,55.5,180.43,0.283,NO
Belagavi,2017,18.316,17.255,30.076,49.627,105.948,324.406,412.644,370.753,185.284,76.53,46.709,15.751,1677.223,22.37,81.39,45.56,0.569,NO
Tiruchirappalli,2015,30.435,32.471,57.935,95.39,222.848,663.519,769.322,681.023,391.146,162.273,89.113,32.299,3143.547,24.38,79.72,53.36,0.829,YES
Churu,1991,26.725,24.272,57.796,97.763,168.831,492.027,616.658,448.69,282.636,140.14,76.81,30.769,2581.515,24.17,85.01,53.39,0.75,YES
Pune,2014,12.899,13.835,24.162,39.408,93.793,209.752,304.664,282.539,168.674,58.121,38.409,10.135,1328.229,20.72,55.7,439.88,0.335,NO
Surat,1992,17.765,20.01,40.175,60.072,130.95,396.577,435.858,336.865,237.571,91.416,43.741,19.933,1777.066,20.03,77.36,1321.02,0.395,NO
Warangal,1997,21.495,20.512,48.26,71.501,139.128,432.664,499.547,400.802,184.81,98.749,64.807,15.751,2197.847,23.97,89.99,99.94,0.696,YES
Ahmedabad,2022,2.448,3.009,4.872,8.376,16.574,59.056,68.607,51.527,25.038,12.916,9.076,3.276,283.668,36.97,46.58,226.62,0.131,NO
Agra,2024,11.365,11.504,21.666,39.145,79.383,253.17,297.711,235.256,125.214,68.457,39.97,14.263,1162.001,32.82,66.93,631.74,0.329,YES
Tiruchirappalli,1995,12.67,14.611,26.212,44.6,102.559,272.919,347.745,344.23,168.511,55.499,40.416,12.676,1423.525,27.58,42.53,475.68,0.288,YES
Bengaluru,2012,7.069,8.337,16.957,21.386,51.494,144.831,224.173,170.038,99.745,34.908,19.363,8.743,778.507,29.71,61.47,316.68,0.277,NO
Nadia,2014,6.877,4.757,14.127,17.127,41.07,100.193,118.65,89.277,76.378,28.612,18.108,6.424,577.006,26.59,47.05,306.89,0.176,YES
Khammam,2008,2.908,3.433,5.388,8.442,18.7,63.639,81.59,56.071,30.33,16.49,8.034,2.818,293.658,34.64,32.88,110.76,0.087,NO
Karimnagar,1994,3.719,4.286,7.691,13.376,27.533,87.811,94.53,93.547,47.498,21.02,11.015,4.16,416.645,28.78,42.29,172.19,0.144,NO
Karimnagar,2000,9.442,10.623,19.288,31.512,78.169,184.112,265.585,222.11,133.212,63.584,29.626,10.667,1066.984,25.8,57.1,277.51,0.315,NO
Guwahati,2001,21.248,15.603,27.863,57.167,139.816,285.409,437.71,324.914,223.763,90.128,61.363,15.654,1808.682,27.42,74.45,44.33,0.562,NO
Patna,1999,10.339,10.574,20.01,23.871,72.58,184.552,205.488,206.45,128.624,46.712,32.355,10.795,995.494,23.15,54.92,428.05,0.272,YES
Darjeeling,1997,15.463,16.414,34.005,48.91,83.632,231.718,428.53,288.471,176.66,92.087,43.06,15.275,1548.99,21.75,91.9,1441.3,0.402,YES
Bengaluru,2013,11.526,11.267,26.118,33.242,86.38,231.856,315.626,198.65,107.011,57.731,31.609,13.198,1151.19,23.84,60.22,417.55,0.326,YES
Nagaon,2017,9.507,9.797,18.584,26.886,67.491,211.185,232.171,184.39,124.296,39.857,32.177,8.813,958.65,24.95,63.12,206.07,0.332,NO
Tinsukia,2010,31.474,29.603,45.53,86.376,227.761,557.696,703.72,531.017,386.349,137.133,101.729,32.08,2875.776,21.19,89.43,70.39,0.821,NO
Karimnagar,1997,27.063,24.073,45.44,75.072,193.116,562.328,486.158,606.822,293.805,128.711,65.231,21.579,2388.161,29.12,67.56,86.41,0.631,YES
Suryapet,1998,5.645,7.717,12.281,19.6,44.767,118.418,161.571,133.04,89.01,29.478,18.628,6.957,659.405,25.59,81.54,408.9,0.333,YES
Ajmer,2004,6.311,6.323,11.345,20.315,50.195,142.253,154.024,93.197,77.153,31.728,16.929,5.766,628.26,22.24,67.46,88.4,0.308,YES
Darjeeling,2007,11.051,12.61,22.527,37.427,106.328,240.898,271.232,209.786,152.137,73.656,33.499,9.628,1227.297,19.28,65.15,612.79,0.335,YES
Siliguri,2009,6.965,7.446,12.799,18.617,41.924,127.092,158.178,122.356,64.594,30.573,17.673,5.472,594.944,28.14,32.6,255.85,0.121,NO
Vellore,1995,36.201,33.518,70.939,110.518,261.368,672.096,920.442,752.757,463.944,181.525,112.091,33.746,3523.092,23.36,83.99,84.9,0.913,YES
Mysuru,2001,24.281,19.182,42.94,55.098,140.204,399.143,508.117,353.372,240.691,91.867,62.663,17.61,1930.571,24.87,81.2,608.68,0.537,NO
Bengaluru,1991,14.614,14.14,33.621,47.295,112.884,261.721,340.913,283.487,189.637,73.567,39.353,13.178,1418.012,31.66,64.35,299.24,0.409,NO
Bhavnagar,1996,14.364,13.358,25.803,38.385,97.882,229.615,322.512,259.544,134.819,62.839,47.305,11.762,1283.393,28.85,50.52,306.64,0.321,YES
Asansol,2005,23.216,18.164,45.216,61.39,154.84,478.074,508.641,469.585,253.667,99.325,75.539,20.722,2292.666,31.75,81.17,19.78,0.684,YES
Pune,1992,12.605,12.412,26.898,39.617,90.621,244.607,320.352,271.002,159.822,73.2,42.503,14.62,1316.329,24.01,53.55,342.45,0.336,YES
Khammam,1992,4.862,4.362,9.295,13.278,33.952,70.614,103.675,89.155,54.314,21.373,10.711,4.206,428.214,29.96,42.27,239.39,0.136,NO
Gorakhpur,2016,17.981,16.099,33.555,59.43,114.192,327.245,423.667,340.375,202.172,86.388,43.937,16.422,1662.388,18.39,67.11,1068.12,0.362,NO
Lucknow,2022,8.314,9.532,20.103,28.041,60.067,181.401,279.64,217.052,107.575,44.799,28.126,10.654,947.852,27.01,53.22,449.61,0.253,NO
Noida,2017,3.925,4.494,9.908,14.697,31.883,92.763,122.892,91.259,51.026,23.35,14.545,3.747,475.82,33.82,23.96,196.02,0.068,NO
Solapur,1990,6.227,6.576,11.556,17.367,38.847,118.015,141.44,137.189,72.801,23.526,19.002,7.022,599.205,29.7,60.03,270.78,0.244,NO
Vadodara,1997,8.746,9.313,17.773,27.443,63.749,182.331,214.659,137.908,88.994,37.157,18.662,7.961,832.278,20.85,51.56,364.4,0.235,YES
Erode,2021,13.953,10.467,26.225,38.608,87.527,273.364,304.306,281.65,143.747,63.212,36.149,11.094,1222.276,27.66,73.72,399.24,0.402,YES
Ajmer,1993,10.546,12.888,27.658,37.453,89.692,205.853,316.409,193.05,128.758,69.064,36.61,12.316,1218.686,23.58,55.45,229.87,0.342,NO
Noida,2019,11.459,11.724,21.127,33.526,75.474,183.881,261.813,226.117,125.273,52.246,35.12,11.032,1085.741,29.73,54.05,380.51,0.291,NO
Nizamabad,1995,15.372,12.436,31.029,39.609,103.688,265.406,405.858,351.316,175.559,73.08,49.139,15.698,1484.903,33.5,39.13,474.6,0.284,NO
Kolhapur,2008,13.124,13.705,31.803,36.991,87.108,285.378,400.27,269.055,131.504,68.673,37.574,13.848,1321.848,30.27,79.05,440.69,0.439,YES
Sivasagar,2021,5.707,5.63,12.817,23.088,39.891,127.86,140.945,135.921,81.011,28.321,22.365,5.335,660.459,29.14,55.49,323.01,0.227,NO
Begusarai,1998,5.903,5.8,10.51,16.669,35.059,86.275,130.495,85.964,61.124,22.343,16.79,5.293,509.923,30.46,35.53,219.31,0.124,NO
Bikaner,2001,5.903,5.716,13.135,18.278,45.285,100.603,130.693,83.763,63.729,27.54,17.303,5.234,552.765,29.62,54.2,360.25,0.197,YES
Vellore,2000,21.013,20.876,37.289,53.087,137.903,395.316,459.55,381.282,201.558,104.497,62.793,19.667,1957.142,17.31,83.57,886.38,0.515,YES
Mahbubnagar,2005,19.421,18.276,41.911,47.103,128.826,393.387,518.286,389.39,194.007,75.27,53.2,18.692,1803.972,18.41,76.63,899.98,0.454,NO
Jhansi,1990,18.467,15.025,35.808,37.066,109.379,366.497,371.583,300.224,191.841,85.86,44.974,16.819,1687.329,19.54,76.39,1701.96,0.322,NO
Chennai,2010,14.713,17.158,29.266,46.262,109.43,294.634,414.018,337.609,175.503,79.139,41.853,16.244,1537.715,27.33,79.94,64.02,0.534,YES
Mahbubnagar,2019,28.52,26.857,57.581,88.57,219.102,579.578,758.679,663.602,299.871,155.678,76.262,25.883,2787.106,24.33,76.09,77.4,0.744,NO
Akola,2002,29.131,27.282,53.588,86.969,197.357,544.508,659.685,666.447,307.984,143.384,97.279,31.527,2916.579,28.14,77.99,0.0,0.787,YES
Jodhpur,2023,3.334,3.055,6.504,8.676,22.158,63.21,79.799,60.031,32.469,18.331,10.782,3.543,325.832,29.77,35.33,236.48,0.087,NO
Tiruchirappalli,1993,20.565,20.153,36.882,55.958,158.896,463.005,486.235,396.459,255.2,100.004,60.451,19.697,1981.551,13.24,83.27,1111.76,0.488,YES
Silchar,2017,14.704,15.62,32.017,36.409,114.572,399.878,388.219,325.583,178.34,72.253,47.167,17.247,1622.542,19.63,88.28,1231.98,0.428,NO
Kutch,2020,22.984,22.654,49.4,72.014,169.338,526.702,650.985,541.079,248.155,127.757,82.221,19.692,2353.388,20.95,81.81,66.7,0.692,YES
Murshidabad,2016,6.952,6.588,13.898,23.295,41.957,142.736,164.321,155.73,87.112,34.281,19.398,8.818,696.614,25.93,39.76,166.41,0.184,NO
Kutch,1994,21.626,18.05,38.664,65.717,136.512,395.209,577.79,458.508,238.029,117.503,58.628,24.6,2103.746,24.45,77.77,123.52,0.62,NO
Mahbubnagar,2014,7.924,7.738,14.461,21.186,40.391,145.969,187.793,122.929,97.665,36.995,25.299,7.006,751.963,25.07,63.55,182.22,0.3,YES
Kanpur,1992,26.31,22.363,46.594,71.758,163.219,482.543,472.707,461.763,278.714,93.816,74.756,21.281,2341.45,17.95,79.47,905.98,0.564,NO
Jamnagar,2022,26.719,24.628,46.031,80.613,199.33,490.236,694.373,479.754,321.211,117.602,86.629,27.048,2441.777,26.99,80.73,78.19,0.701,YES
Tiruchirappalli,1993,31.397,22.388,62.664,78.849,217.318,676.338,801.306,651.223,346.412,127.072,83.019,28.997,2998.618,33.69,76.4,19.86,0.792,NO
Madurai,2014,5.995,6.765,12.884,22.007,37.815,134.04,163.219,118.665,65.116,28.169,16.815,7.03,600.324,22.13,71.72,292.93,0.294,NO
Dibrugarh,2009,14.558,14.608,27.124,39.41,97.284,271.639,332.877,278.743,144.134,69.016,39.886,12.483,1344.419,23.3,76.01,1314.34,0.31,NO
Jamnagar,2023,8.212,9.103,17.408,22.499,57.613,167.371,195.24,153.982,95.795,48.284,23.749,6.739,771.764,28.4,64.61,231.96,0.301,NO
Adilabad,2015,14.823,16.272,28.983,49.009,141.677,314.178,368.889,324.239,196.602,74.593,43.516,18.801,1655.562,21.15,58.16,733.25,0.366,YES
Bengaluru,1994,6.817,6.178,11.483,18.468,39.871,122.312,195.839,132.937,73.087,34.665,17.664,6.228,649.178,30.93,57.82,367.1,0.23,YES
Darbhanga,2024,8.898,12.315,21.406,30.087,81.429,195.576,246.13,210.184,115.382,51.047,32.12,10.805,1092.324,24.18,67.1,326.66,0.359,NO
Mysuru,2017,16.747,18.832,40.849,62.24,128.404,378.785,470.635,332.346,219.133,104.204,62.614,20.099,1930.378,19.55,65.12,757.67,0.444,NO
Madurai,2018,15.71,19.734,44.817,75.22,149.634,432.253,529.13,372.21,265.93,90.753,63.675,21.598,2140.743,25.46,71.27,54.79,0.607,NO
Jhansi,1998,3.791,3.282,7.009,12.096,26.597,70.142,84.201,81.499,45.421,16.728,11.103,3.468,377.21,20.46,56.31,199.75,0.196,NO
Kutch,1995,22.924,25.043,39.695,67.808,157.935,349.614,602.642,538.473,270.721,126.392,58.383,20.653,2225.287,28.31,80.63,80.07,0.661,YES
Dindigul,2008,3.276,2.975,6.53,10.737,20.758,71.868,65.677,61.353,38.263,14.756,9.217,3.707,325.267,36.88,47.01,105.19,0.157,NO
Shivamogga,2000,3.103,2.96,6.097,7.769,16.964,50.762,64.479,51.856,34.883,14.252,8.138,2.73,276.111,20.47,64.02,177.15,0.215,NO
Dibrugarh,1991,5.406,4.243,10.514,11.531,32.177,112.169,125.476,92.901,63.821,25.812,15.428,4.774,487.244,24.87,47.59,176.98,0.18,NO
Agra,1998,25.513,21.779,43.339,82.924,154.802,370.969,643.789,528.942,272.754,92.014,69.449,28.102,2327.825,28.9,65.11,42.34,0.615,NO
Jhansi,2010,9.366,9.886,19.877,30.214,76.226,203.423,227.639,163.106,114.889,45.01,29.513,8.388,917.964,25.1,55.93,444.41,0.26,NO
Allahabad,2013,20.323,20.976,37.97,63.109,158.21,499.101,485.303,457.015,201.699,104.685,63.302,22.659,2095.279,32.51,79.28,54.95,0.634,YES
Mysuru,2023,19.37,20.932,45.392,54.385,115.01,452.742,459.836,427.302,292.99,110.702,55.341,17.444,2043.149,18.47,76.29,1266.98,0.446,YES
Katihar,2011,32.0,35.301,67.669,118.282,259.116,643.323,940.939,798.581,403.298,181.829,95.0,34.21,3470.157,32.6,80.13,93.33,0.885,NO
Chitradurga,1992,14.115,17.418,29.44,48.539,115.376,402.941,377.148,285.867,184.63,70.898,44.227,16.625,1549.775,21.33,71.56,680.14,0.414,NO
Murshidabad,2001,28.544,32.318,64.848,94.086,228.532,593.959,611.766,615.602,370.06,147.331,97.744,32.937,3059.878,31.39,84.41,93.63,0.829,YES
Anand,2017,11.155,11.024,24.494,29.233,73.884,240.118,287.538,213.201,136.116,51.591,33.278,11.668,1091.662,22.79,57.15,305.08,0.316,NO
Bengaluru,2019,11.392,10.755,22.929,25.899,54.994,157.735,280.362,213.952,112.366,48.501,31.284,9.359,1008.855,25.11,61.85,0.0,0.364,NO
Guwahati,2015,21.693,22.077,43.748,71.184,192.865,424.887,586.263,494.233,298.664,112.142,75.255,24.616,2362.351,28.49,87.98,57.24,0.722,YES
Chitradurga,2010,9.35,8.467,17.345,31.567,78.325,195.854,279.117,194.813,104.055,47.934,33.758,9.201,979.196,27.41,45.62,93.12,0.272,NO
Kota,2017,6.633,7.522,14.951,20.79,49.587,148.782,173.297,151.709,86.115,33.125,21.05,6.465,672.439,27.08,22.33,68.44,0.114,NO
Amravati,2015,13.177,12.921,28.569,45.127,120.489,303.853,371.627,288.809,168.774,73.882,42.551,14.112,1458.576,18.49,77.74,603.87,0.436,NO
Jaipur,2022,4.964,4.171,8.946,12.816,32.49,99.583,118.701,89.723,60.227,24.962,13.817,5.318,458.749,36.16,50.87,193.12,0.187,NO
Thanjavur,2010,13.673,13.637,23.089,32.739,92.44,288.623,338.84,287.406,150.958,66.154,39.433,10.758,1312.25,29.61,81.77,113.06,0.494,YES
Bharatpur,2024,24.699,23.46,45.793,70.93,139.81,452.368,499.201,425.224,207.612,103.197,53.235,18.324,2095.114,16.31,75.26,1508.17,0.418,YES
Bhavnagar,2023,14.554,13.597,30.256,51.249,96.058,284.897,390.114,273.04,163.025,69.91,47.764,12.045,1463.224,20.79,73.59,1448.78,0.303,YES
Gaya,2007,4.326,5.45,6.617,13.998,38.144,112.576,127.597,105.599,51.333,21.583,16.609,4.601,472.611,34.84,39.74,460.39,0.103,NO
Varanasi,2000,9.601,12.315,23.189,35.748,63.037,173.797,304.441,229.234,135.36,61.408,32.698,11.506,1182.002,23.07,70.85,288.44,0.397,NO
Belagavi,2012,19.093,21.76,32.469,56.089,155.181,366.336,505.752,466.551,243.683,121.346,68.366,18.688,1999.028,21.59,79.07,808.87,0.513,NO
Goalpara,2011,5.646,6.072,13.417,20.059,48.245,117.293,148.993,136.473,92.992,28.769,19.248,6.23,646.27,32.28,53.21,221.95,0.228,NO
Kutch,2006,19.431,16.86,38.643,64.473,112.297,421.211,421.607,392.946,241.069,99.357,55.542,20.422,1915.286,14.93,77.21,1347.4,0.416,YES
Bengaluru,1994,9.949,12.421,21.701,35.239,76.86,262.468,296.976,242.454,147.313,55.528,35.127,11.568,1137.988,22.9,68.57,494.39,0.351,NO
Salem,2000,11.557,10.373,20.18,36.42,81.978,198.914,323.056,204.732,131.829,60.629,36.346,10.091,1085.699,23.89,74.04,209.65,0.405,NO
Gaya,2019,23.915,22.034,47.387,67.36,152.764,411.017,635.855,420.958,312.938,110.356,71.524,26.239,2273.92,20.0,79.77,1403.92,0.485,YES
Meerut,2004,16.014,17.524,35.123,46.857,119.746,359.619,489.526,320.805,207.761,82.61,51.174,15.744,1673.457,18.35,70.68,1401.62,0.335,YES
Anand,2016,17.838,20.899,36.752,54.848,116.186,402.483,492.034,367.51,259.129,85.891,48.76,17.972,1814.457,21.18,67.27,2184.59,0.238,YES
Bhagalpur,2024,19.166,21.444,42.187,70.063,139.901,432.708,533.2,453.669,222.876,95.301,59.184,18.669,2094.012,27.04,80.78,92.51,0.636,YES
Madurai,2022,21.386,21.405,44.705,59.575,134.541,364.864,569.471,394.081,224.271,108.321,58.405,18.002,2015.191,23.32,87.57,106.35,0.65,NO
Belagavi,2009,5.011,5.537,9.798,16.321,35.09,99.367,130.492,111.497,67.953,29.973,15.173,6.251,548.744,19.15,47.06,399.24,0.158,NO
Arrah,2005,10.418,7.846,13.485,20.29,54.479,152.422,204.844,172.116,85.636,40.245,23.325,9.857,818.953,23.85,43.4,201.34,0.218,NO
Medak,2023,15.364,16.474,35.773,49.459,138.929,320.176,404.855,400.013,188.447,96.574,51.06,16.725,1782.694,20.46,89.22,696.05,0.535,YES
Bhagalpur,1991,13.331,12.471,30.637,42.706,107.07,313.93,370.105,240.081,152.197,76.197,42.367,14.958,1404.437,25.98,64.61,450.16,0.388,YES
Howrah,2024,13.776,13.303,29.611,34.496,94.188,279.845,354.748,242.01,145.896,66.767,41.438,16.061,1389.984,21.66,59.1,246.78,0.388,NO
Begusarai,2017,30.92,32.225,78.582,112.509,210.841,723.714,917.943,691.194,359.034,159.388,95.303,35.689,3389.618,30.5,79.16,73.57,0.869,YES
Medak,1995,30.196,30.715,59.303,79.901,278.168,656.429,904.873,560.616,436.107,151.499,99.671,34.68,3155.061,26.8,68.48,47.92,0.781,NO
