DISTRICT,YEAR,AVG_TEMP,HUMIDITY,ELEVATION,FLOODS,MONTH,RAINFALL_MM
Thane,2014,29.25,78.33,40.72,0,2,24.327
Jamnagar,2002,22.69,72.45,228.93,0,2,9.841
Rajkot,1995,31.45,54.55,233.89,0,2,6.707
Durgapur,1998,25.35,54.75,8.61,1,2,13.764
Kutch,2009,34.85,74.56,25.86,0,2,29.746
Darbhanga,2007,23.79,73.0,185.67,0,2,10.637
Suryapet,2010,17.91,79.5,1164.25,0,2,19.513
Gaya,1993,31.02,45.36,194.43,0,2,1.591
Belagavi,2022,25.09,51.98,323.12,0,2,7.1
Mysuru,2016,20.72,80.76,950.61,1,2,20.552
Dindigul,1996,32.57,49.64,267.05,1,2,10.118
Chitradurga,1995,25.07,75.48,59.16,0,2,24.734
Shivamogga,2004,20.34,78.21,1279.05,1,2,19.888
Jorhat,2007,23.5,69.9,460.18,0,2,5.688
Chitradurga,2021,27.33,46.43,197.31,0,2,3.493
Surat,2000,25.45,56.38,457.83,0,2,8.554
Begusarai,2009,26.04,68.87,538.54,1,2,12.426
Darbhanga,2013,25.34,65.76,756.64,1,2,16.457
Noida,2004,27.91,35.49,279.17,0,2,7.415
Noida,1996,25.01,70.87,214.61,1,2,14.117
Dibrugarh,2010,18.56,48.18,484.23,1,2,13.295
Madurai,2015,31.82,27.16,218.82,0,2,3.599
Amravati,2003,28.37,75.06,38.21,1,2,23.552
Bengaluru,2010,28.38,70.88,163.79,0,2,9.773
Mumbai,2007,28.72,84.47,32.82,1,2,24.82
Begusarai,1994,22.75,30.36,184.44,0,2,3.967
Mumbai,1992,33.21,75.9,83.72,1,2,32.291
Nizamabad,2012,28.91,72.56,41.09,0,2,24.873
Jamnagar,2015,21.11,80.09,819.76,0,2,12.384
Jalpaiguri,2013,25.28,65.21,1709.79,1,2,19.923
Jhansi,2008,24.05,64.51,239.7,0,2,12.102
Mumbai,2014,23.85,78.97,15.3,1,2,21.698
Belagavi,2010,25.65,45.94,63.13,0,2,4.39
Guwahati,2001,27.9,71.61,27.9,1,2,17.596
Silchar,2022,27.66,84.46,49.91,1,2,23.289
Jorhat,1993,32.5,75.46,304.08,0,2,10.906
Goalpara,1996,27.56,74.8,207.2,1,2,9.93
Coimbatore,2011,15.64,75.51,381.79,0,2,17.625
Vadodara,2022,25.96,69.76,23.42,1,2,25.953
Nagaon,2006,26.21,78.19,10.36,1,2,27.978
Kota,2013,28.94,47.68,0.0,0,2,2.196
Erode,2023,25.9,80.67,0.0,0,2,20.972
Belagavi,2017,24.35,72.27,58.89,1,2,21.157
Patna,2011,26.6,67.11,254.17,0,2,11.027
Allahabad,2006,24.17,67.71,388.18,0,2,6.681
Arrah,2023,16.22,81.19,731.79,1,2,14.806
Vellore,1995,36.42,37.83,139.32,0,2,5.997
Bharatpur,1995,29.74,30.51,114.08,0,2,3.733
Surat,2023,33.97,77.56,23.27,1,2,21.651
Goalpara,1990,30.51,71.79,186.25,0,2,16.67
Durgapur,1999,26.62,75.16,101.93,1,2,28.77
Rajkot,2010,37.38,36.32,188.93,0,2,5.703
Dibrugarh,1994,30.42,49.39,181.1,0,2,11.379
Goalpara,1991,23.69,55.8,444.08,0,2,11.747
Kota,2011,28.74,49.15,197.44,0,2,5.928
Belagavi,1991,28.9,83.39,82.43,1,2,24.585
Noida,1999,27.35,73.69,64.92,1,2,28.825
Noida,2023,34.13,55.12,213.72,0,2,2.828
Jalpaiguri,2005,27.57,71.53,344.92,0,2,4.735
Meerut,2011,30.2,57.14,356.79,0,2,9.734
Medak,2001,29.9,73.07,11.79,1,2,19.346
Anand,2013,25.96,86.28,53.55,0,2,28.412
Karimnagar,1999,23.54,48.75,228.12,0,2,6.191
Rajkot,2024,27.08,64.04,240.91,0,2,3.812
Madurai,2021,34.34,72.8,35.35,1,2,27.31
Akola,1996,29.92,62.91,480.98,0,2,9.04
Goalpara,2010,28.36,87.34,56.78,1,2,36.487
Anand,2009,31.56,64.65,238.03,1,2,11.914
Nizamabad,2015,28.1,69.07,62.1,0,2,19.814
Gaya,1993,30.45,24.12,304.1,0,2,9.291
Bhavnagar,2011,31.54,62.98,127.26,0,2,4.35
Akola,2004,18.77,70.08,656.56,1,2,18.429
Chitradurga,2010,22.44,64.77,422.57,0,2,12.227
Begusarai,2004,31.75,32.0,296.39,0,2,5.632
Jamnagar,2011,26.08,54.31,283.73,0,2,10.856
Mumbai,2017,27.29,84.77,44.39,1,2,28.961
Goalpara,2003,28.14,62.83,433.36,0,2,10.018
Nagpur,2016,24.49,55.5,180.43,0,2,6.816
Belagavi,2017,22.37,81.39,45.56,0,2,17.255
Tiruchirappalli,2015,24.38,79.72,53.36,1,2,32.471
Churu,1991,24.17,85.01,53.39,1,2,24.272
Pune,2014,20.72,55.7,439.88,0,2,13.835
Surat,1992,20.03,77.36,1321.02,0,2,20.01
Warangal,1997,23.97,89.99,99.94,1,2,20.512
Ahmedabad,2022,36.97,46.58,226.62,0,2,3.009
Agra,2024,32.82,66.93,631.74,1,2,11.504
Tiruchirappalli,1995,27.58,42.53,475.68,1,2,14.611
Bengaluru,2012,29.71,61.47,316.68,0,2,8.337
Nadia,2014,26.59,47.05,306.89,1,2,4.757
Khammam,2008,34.64,32.88,110.76,0,2,3.433
Karimnagar,1994,28.78,42.29,172.19,0,2,4.286
Karimnagar,2000,25.8,57.1,277.51,0,2,10.623
Guwahati,2001,27.42,74.45,44.33,0,2,15.603
Patna,1999,23.15,54.92,428.05,1,2,10.574
Darjeeling,1997,21.75,91.9,1441.3,1,2,16.414
Bengaluru,2013,23.84,60.22,417.55,1,2,11.267
Nagaon,2017,24.95,63.12,206.07,0,2,9.797
Tinsukia,2010,21.19,89.43,70.39,0,2,29.603
Karimnagar,1997,29.12,67.56,86.41,1,2,24.073
Suryapet,1998,25.59,81.54,408.9,1,2,7.717
Ajmer,2004,22.24,67.46,88.4,1,2,6.323
Darjeeling,2007,19.28,65.15,612.79,1,2,12.61
Siliguri,2009,28.14,32.6,255.85,0,2,7.446
Vellore,1995,23.36,83.99,84.9,1,2,33.518
Mysuru,2001,24.87,81.2,608.68,0,2,19.182
Bengaluru,1991,31.66,64.35,299.24,0,2,14.14
Bhavnagar,1996,28.85,50.52,306.64,1,2,13.358
Asansol,2005,31.75,81.17,19.78,1,2,18.164
Pune,1992,24.01,53.55,342.45,1,2,12.412
Khammam,1992,29.96,42.27,239.39,0,2,4.362
Gorakhpur,2016,18.39,67.11,1068.12,0,2,16.099
Lucknow,2022,27.01,53.22,449.61,0,2,9.532
Noida,2017,33.82,23.96,196.02,0,2,4.494
Solapur,1990,29.7,60.03,270.78,0,2,6.576
Vadodara,1997,20.85,51.56,364.4,1,2,9.313
Erode,2021,27.66,73.72,399.24,1,2,10.467
Ajmer,1993,23.58,55.45,229.87,0,2,12.888
Noida,2019,29.73,54.05,380.51,0,2,11.724
Nizamabad,1995,33.5,39.13,474.6,0,2,12.436
Kolhapur,2008,30.27,79.05,440.69,1,2,13.705
Sivasagar,2021,29.14,55.49,323.01,0,2,5.63
Begusarai,1998,30.46,35.53,219.31,0,2,5.8
Bikaner,2001,29.62,54.2,360.25,1,2,5.716
Vellore,2000,17.31,83.57,886.38,1,2,20.876
Mahbubnagar,2005,18.41,76.63,899.98,0,2,18.276
Jhansi,1990,19.54,76.39,1701.96,0,2,15.025
Chennai,2010,27.33,79.94,64.02,1,2,17.158
Mahbubnagar,2019,24.33,76.09,77.4,0,2,26.857
Akola,2002,28.14,77.99,0.0,1,2,27.282
Jodhpur,2023,29.77,35.33,236.48,0,2,3.055
Tiruchirappalli,1993,13.24,83.27,1111.76,1,2,20.153
Silchar,2017,19.63,88.28,1231.98,0,2,15.62
Kutch,2020,20.95,81.81,66.7,1,2,22.654
Murshidabad,2016,25.93,39.76,166.41,0,2,6.588
Kutch,1994,24.45,77.77,123.52,0,2,18.05
Mahbubnagar,2014,25.07,63.55,182.22,1,2,7.738
Kanpur,1992,17.95,79.47,905.98,0,2,22.363
Jamnagar,2022,26.99,80.73,78.19,1,2,24.628
Tiruchirappalli,1993,33.69,76.4,19.86,0,2,22.388
Madurai,2014,22.13,71.72,292.93,0,2,6.765
Dibrugarh,2009,23.3,76.01,1314.34,0,2,14.608
Jamnagar,2023,28.4,64.61,231.96,0,2,9.103
Adilabad,2015,21.15,58.16,733.25,1,2,16.272
Bengaluru,1994,30.93,57.82,367.1,1,2,6.178
Darbhanga,2024,24.18,67.1,326.66,0,2,12.315
Mysuru,2017,19.55,65.12,757.67,0,2,18.832
Madurai,2018,25.46,71.27,54.79,0,2,19.734
Jhansi,1998,20.46,56.31,199.75,0,2,3.282
Kutch,1995,28.31,80.63,80.07,1,2,25.043
Dindigul,2008,36.88,47.01,105.19,0,2,2.975
Shivamogga,2000,20.47,64.02,177.15,0,2,2.96
Dibrugarh,1991,24.87,47.59,176.98,0,2,4.243
Agra,1998,28.9,65.11,42.34,0,2,21.779
Jhansi,2010,25.1,55.93,444.41,0,2,9.886
Allahabad,2013,32.51,79.28,54.95,1,2,20.976
Mysuru,2023,18.47,76.29,1266.98,1,2,20.932
Katihar,2011,32.6,80.13,93.33,0,2,35.301
Chitradurga,1992,21.33,71.56,680.14,0,2,17.418
Murshidabad,2001,31.39,84.41,93.63,1,2,32.318
Anand,2017,22.79,57.15,305.08,0,2,11.024
Bengaluru,2019,25.11,61.85,0.0,0,2,10.755
Guwahati,2015,28.49,87.98,57.24,1,2,22.077
Chitradurga,2010,27.41,45.62,93.12,0,2,8.467
Kota,2017,27.08,22.33,68.44,0,2,7.522
Amravati,2015,18.49,77.74,603.87,0,2,12.921
Jaipur,2022,36.16,50.87,193.12,0,2,4.171
Thanjavur,2010,29.61,81.77,113.06,1,2,13.637
Bharatpur,2024,16.31,75.26,1508.17,1,2,23.46
Bhavnagar,2023,20.79,73.59,1448.78,1,2,13.597
Gaya,2007,34.84,39.74,460.39,0,2,5.45
Varanasi,2000,23.07,70.85,288.44,0,2,12.315
Belagavi,2012,21.59,79.07,808.87,0,2,21.76
Goalpara,2011,32.28,53.21,221.95,0,2,6.072
Kutch,2006,14.93,77.21,1347.4,1,2,16.86
Bengaluru,1994,22.9,68.57,494.39,0,2,12.421
Salem,2000,23.89,74.04,209.65,0,2,10.373
Gaya,2019,20.0,79.77,1403.92,1,2,22.034
Meerut,2004,18.35,70.68,1401.62,1,2,17.524
Anand,2016,21.18,67.27,2184.59,1,2,20.899
Bhagalpur,2024,27.04,80.78,92.51,1,2,21.444
Madurai,2022,23.32,87.57,106.35,0,2,21.405
Belagavi,2009,19.15,47.06,399.24,0,2,5.537
Arrah,2005,23.85,43.4,201.34,0,2,7.846
Medak,2023,20.46,89.22,696.05,1,2,16.474
Bhagalpur,1991,25.98,64.61,450.16,1,2,12.471
Howrah,2024,21.66,59.1,246.78,0,2,13.303
Begusarai,2017,30.5,79.16,73.57,1,2,32.225
Medak,1995,26.8,68.48,47.92,0,2,30.715
Mangaluru,1998,30.55,75.86,62.44,1,2,34.452
Bhavnagar,2009,33.56,36.55,233.66,0,2,6.496
Aurangabad,1990,33.28,51.25,272.76,0,2,3.792
Khammam,1997,21.92,73.31,528.63,0,2,13.496
Gorakhpur,2012,21.24,70.91,107.84,0,2,13.57
Vadodara,1992,19.39,57.74,963.2,0,2,18.361
Bikaner,1993,35.96,67.59,211.93,0,2,4.775
Kalaburagi,2014,19.26,84.94,1671.28,0,2,16.818
Kota,2004,23.84,49.29,243.23,0,2,4.445
Amravati,2010,28.86,56.53,336.58,0,2,10.917
Ajmer,2024,29.61,83.94,42.51,1,2,22.555
Begusarai,2003,19.67,75.71,1208.39,1,2,20.943
Shivamogga,2001,19.14,73.41,908.31,1,2,23.603
Kolhapur,2006,30.93,52.47,81.71,0,2,2.066
Asansol,1998,30.26,84.34,82.11,0,2,17.241
Mysuru,2024,20.24,77.84,801.99,1,2,19.367
Suryapet,2002,21.74,71.18,830.12,0,2,23.234
Howrah,2004,32.67,58.79,86.98,0,2,9.14
Amravati,2007,24.92,46.54,357.26,1,2,5.553
Nadia,2022,36.07,72.99,101.31,1,2,33.329
Tirunelveli,1995,33.26,53.98,43.67,0,2,8.782
Tezpur,2016,24.11,69.7,58.98,0,2,8.447
Aurangabad,2012,34.16,61.18,360.72,0,2,11.436
Vellore,2016,18.4,82.63,1106.44,0,2,14.089
Adilabad,2023,27.31,85.33,810.59,1,2,15.114
Rangareddy,2003,24.97,63.62,217.07,0,2,7.756
Varanasi,1997,32.06,34.63,229.19,0,2,6.796
Solapur,2024,27.98,68.13,15.22,0,2,13.368
Tinsukia,2008,26.85,74.33,10.85,1,2,27.481
Allahabad,2019,21.35,70.72,596.27,0,2,11.43
Shivamogga,2003,31.48,86.78,38.28,1,2,27.656
Jaipur,2009,30.34,44.95,163.64,0,2,4.818
Jhansi,2014,27.05,64.61,0.0,1,2,6.274
Malda,2013,30.43,69.8,10.99,0,2,26.206
Nagpur,2003,21.56,56.83,386.45,0,2,13.967
Mahbubnagar,2015,28.25,81.41,65.22,0,2,29.393
Barpeta,2012,35.03,45.95,286.49,1,2,4.296
Hyderabad,2011,24.89,67.88,378.58,0,2,9.676
Chitradurga,2008,28.4,53.66,284.23,1,2,12.519
Guwahati,1992,19.37,71.47,153.96,0,2,11.306
Muzaffarpur,2008,28.31,77.69,20.41,0,2,26.621
Medak,1998,19.58,75.18,660.51,1,2,18.501
Ahmedabad,2017,30.2,35.12,282.3,0,2,5.793
Ajmer,2009,25.33,65.54,379.28,0,2,11.45
Noida,1996,23.71,68.93,613.63,1,2,15.18
Chitradurga,2003,22.37,62.63,356.78,0,2,11.029
Medak,1998,26.95,84.07,68.82,1,2,23.025
Nagaon,2008,22.87,69.23,376.85,0,2,11.145
Malda,2003,24.04,93.09,76.84,1,2,25.591
Mysuru,2006,19.79,75.06,1020.02,0,2,15.041
Surat,2019,22.23,56.91,260.45,0,2,6.384
Begusarai,1998,26.98,53.72,311.03,0,2,6.575
Raichur,2022,31.09,51.15,301.52,0,2,5.315
Surat,2014,28.47,79.36,72.76,0,2,21.273
Udaipur,2003,21.73,68.25,1037.8,0,2,20.513
Guwahati,2000,20.99,75.62,84.44,1,2,17.956
Medak,2024,31.98,72.56,578.59,0,2,11.607
Mumbai,2003,27.82,84.41,126.77,1,2,25.353
Nashik,2019,28.74,73.23,681.76,0,2,10.192
Alwar,1993,26.0,30.74,521.52,0,2,6.44
Surat,1993,24.18,78.21,90.47,1,2,30.618
Dibrugarh,2017,29.53,75.43,0.0,0,2,24.894
Jorhat,1997,28.9,61.34,331.83,1,2,8.752
Salem,1991,24.32,76.05,5.97,1,2,14.438
Purnia,2011,29.79,86.98,100.29,1,2,27.215
Karimnagar,2005,28.8,56.43,253.07,0,2,10.19
Rangareddy,2018,29.89,89.28,63.42,1,2,17.097
Thane,2019,28.46,84.31,45.62,0,2,17.229
Begusarai,2001,28.93,84.52,103.95,0,2,27.889
Siliguri,2024,25.13,88.82,525.87,0,2,24.961
Malda,2000,23.68,60.69,406.03,1,2,10.805
Warangal,2010,30.63,84.22,18.71,0,2,21.571
Malda,2010,27.68,63.15,0.0,1,2,6.362
Guwahati,1994,15.88,68.69,1075.03,1,2,19.779
Durgapur,2009,20.3,53.68,116.35,1,2,12.709
Chennai,1992,28.5,78.99,5.15,0,2,25.759
Churu,2022,19.6,64.5,64.52,0,2,7.442
Meerut,1998,20.81,83.76,38.33,1,2,29.583
Bikaner,1998,43.21,50.62,293.32,0,2,6.978
Mahbubnagar,1993,22.13,65.78,80.79,1,2,7.831
Kutch,2024,29.68,57.23,462.21,1,2,8.025
Chitradurga,2006,20.7,57.26,784.78,0,2,15.693
Raichur,2023,39.31,52.63,93.57,0,2,4.689
Arrah,2013,25.68,68.62,1485.64,0,2,13.713
Kalaburagi,2021,28.25,81.56,444.6,0,2,10.779
Durgapur,1990,20.33,63.44,422.01,0,2,9.476
Murshidabad,1997,32.13,73.78,334.76,0,2,6.695
Mangaluru,2012,24.27,74.49,17.83,1,2,21.68
Hubballi,2001,31.22,85.65,87.26,1,2,21.59
Hyderabad,2001,22.04,67.16,304.31,0,2,5.938
Mumbai,2004,26.5,81.89,54.06,1,2,22.995
Muzaffarpur,2008,34.98,74.74,61.79,1,2,21.008
Nashik,2015,20.74,69.37,1396.51,0,2,19.809
Belagavi,2018,22.88,66.55,55.79,1,2,11.947
Gorakhpur,2011,25.13,52.96,293.64,0,2,15.656
Arrah,2010,26.95,51.71,231.93,0,2,7.984
Bikaner,2009,26.59,39.95,348.41,0,2,1.054
Bengaluru,2018,28.61,65.02,560.21,0,2,13.258
Ajmer,1993,22.74,74.21,343.95,0,2,11.633
Jamnagar,1996,21.58,82.07,10.6,1,2,27.012
Belagavi,2017,29.13,57.2,140.95,1,2,3.452
Udaipur,2017,26.18,79.3,0.0,0,2,26.689
Kota,1993,30.58,65.39,301.55,0,2,4.921
Tiruchirappalli,2011,19.4,85.65,771.47,0,2,21.888
Thanjavur,2001,22.6,82.16,1484.58,0,2,12.408
Solapur,1992,22.15,78.66,776.13,1,2,28.557
Surat,2011,17.96,63.97,270.39,1,2,13.84
Mahbubnagar,1991,27.86,72.55,38.68,1,2,32.018
Noida,2013,24.22,44.62,60.56,1,2,13.845
Solapur,2023,19.08,80.23,348.73,1,2,19.159
Begusarai,2016,18.83,60.73,596.13,1,2,6.786
Nalanda,1990,17.31,50.62,123.95,0,2,6.614
Nadia,1997,31.98,48.7,412.19,0,2,15.361
Thanjavur,2012,25.05,75.23,694.72,0,2,8.794
Surat,1995,27.17,57.98,237.84,1,2,11.537
Kolkata,2011,25.94,81.9,63.82,0,2,23.599
Anand,2014,20.26,54.97,343.33,0,2,10.296
Silchar,2007,23.82,63.27,350.13,1,2,10.519
Tirunelveli,2006,16.96,94.06,1195.66,0,2,22.035
Jorhat,2001,21.83,84.26,520.08,0,2,16.412
Shivamogga,1995,31.34,39.31,55.4,1,2,6.949
Jodhpur,2015,32.64,34.94,196.56,1,2,8.124
Karimnagar,2016,31.55,48.55,340.01,1,2,5.046
Agra,1997,22.24,41.7,291.97,0,2,4.958
Alwar,2008,26.9,76.61,7.52,1,2,36.058
Surat,1990,17.54,90.9,1230.16,0,2,21.709
Vellore,2018,28.5,70.11,57.58,1,2,16.551
Mysuru,2024,18.03,80.68,1055.31,1,2,16.133
Asansol,2003,28.93,89.71,53.67,0,2,27.148
Khammam,2024,21.07,65.72,1123.22,0,2,18.163
Thane,2009,27.23,77.92,49.1,1,2,22.601
Kanpur,2002,27.12,56.71,210.37,0,2,16.249
Goalpara,1997,29.13,88.05,43.3,1,2,22.086
Durgapur,2009,28.37,79.85,0.0,1,2,23.532
Salem,2022,29.07,90.24,65.68,1,2,19.708
Tezpur,2015,32.65,53.52,249.83,0,2,6.1
Akola,2010,26.9,78.24,99.72,0,2,22.571
Purnia,1998,25.77,74.36,68.37,1,2,27.329
Dindigul,2013,27.39,49.89,271.3,0,2,12.08
Aurangabad,2006,23.69,66.63,373.01,0,2,19.325
Karimnagar,2013,29.96,70.69,168.15,0,2,5.9
Tinsukia,2010,27.6,77.63,29.87,0,2,21.908
Kalaburagi,2002,32.75,53.58,0.0,0,2,10.786
Jamnagar,2000,22.28,80.24,1155.26,1,2,14.368
Murshidabad,2008,34.93,43.04,249.87,0,2,5.827
Delhi,2000,21.23,71.29,1518.0,0,2,20.054
Meerut,2002,31.15,60.53,344.49,0,2,5.235
Erode,1990,29.25,87.64,60.41,1,2,19.93
Jorhat,2008,24.17,62.86,113.12,0,2,11.296
Jhansi,2001,21.43,53.48,119.74,0,2,10.314
Allahabad,1997,32.32,48.88,222.16,0,2,2.432
Katihar,1997,29.53,85.12,76.92,1,2,23.756
Tirunelveli,2001,32.28,86.73,78.76,1,2,24.53
Murshidabad,2022,29.43,71.25,234.88,0,2,3.547
Alwar,2015,26.69,67.06,0.0,0,2,31.843
Karimnagar,2017,24.66,82.46,13.81,1,2,21.908
Gandhinagar,1994,31.4,52.71,6.68,0,2,3.726
Kutch,1997,26.1,69.25,350.3,0,2,11.207
Mumbai,2014,26.32,81.79,42.11,0,2,24.759
Chennai,2016,29.64,80.22,41.04,1,2,21.111
Darbhanga,2012,16.44,72.65,1191.03,1,2,20.82
Thane,2019,26.14,76.03,39.21,1,2,25.805
Surat,2012,28.56,69.94,1769.46,0,2,15.746
Lucknow,2009,22.06,73.81,271.42,0,2,8.869
Goalpara,2007,27.77,67.15,40.55,0,2,5.988
Bhavnagar,2007,31.02,84.13,0.0,1,2,21.197
Aurangabad,1991,30.54,77.16,66.01,1,2,22.499
Nashik,1993,28.71,65.35,395.13,0,2,7.702
Bhagalpur,2019,21.36,89.73,1246.19,1,2,23.85
Madurai,2022,25.94,61.39,103.3,1,2,8.627
Bhagalpur,2007,32.31,83.96,23.45,0,2,20.028
Adilabad,2008,31.53,54.95,551.3,1,2,6.496
Ajmer,2017,34.01,41.11,181.55,1,2,6.314
Ajmer,2009,36.4,47.86,138.06,1,2,5.123
Varanasi,2022,33.81,38.05,338.48,1,2,5.574
Shivamogga,2001,19.0,69.03,588.26,0,2,18.112
Meerut,2004,23.24,58.31,237.63,0,2,8.529
Bharatpur,1991,21.11,76.63,1495.04,1,2,21.854
Jodhpur,2018,31.16,38.88,332.54,0,2,3.132
Mumbai,1999,29.39,80.86,90.56,0,2,25.318
Patna,1991,32.13,48.78,410.88,1,2,8.389
Malda,2000,26.87,80.82,110.5,0,2,27.234
Alwar,2002,19.54,59.85,1376.73,0,2,24.415
Nagpur,1999,27.2,70.82,349.65,0,2,9.142
Dibrugarh,2003,19.55,62.57,1004.7,1,2,13.309
Tinsukia,2007,22.5,87.78,40.9,1,2,23.512
Warangal,1998,18.62,78.43,503.96,1,2,17.133
Nizamabad,2017,26.06,50.91,0.0,1,2,9.293
Surat,1992,31.47,55.62,443.01,1,2,13.796
Bhavnagar,2009,26.69,50.43,189.99,0,2,3.439
Udaipur,1995,27.87,80.94,24.28,1,2,19.802
Medak,2016,26.21,48.49,604.71,1,2,6.663
Erode,1991,27.99,67.7,479.45,0,2,7.979
Nizamabad,2018,27.04,51.67,276.45,1,2,14.123
Muzaffarpur,1992,31.25,68.4,256.94,0,2,7.455
Nashik,2005,26.48,37.17,197.3,0,2,5.637
Nadia,2019,19.18,62.06,854.39,1,2,18.391
Bengaluru,1991,20.45,76.94,487.39,0,2,11.441
Tinsukia,2006,27.52,67.79,340.45,0,2,8.722
Muzaffarpur,2001,26.92,49.55,75.08,0,2,6.937
Aurangabad,2024,32.05,77.24,60.89,1,2,29.046
Rajkot,1990,22.09,45.64,263.45,0,2,6.029
Rajkot,2004,37.7,43.42,369.71,0,2,4.08
Arrah,2015,30.93,53.93,229.05,0,2,4.627
Shivamogga,2010,24.77,54.07,308.75,0,2,11.921
Durgapur,2020,29.65,77.49,65.42,1,2,37.102
Madurai,2014,24.39,80.78,578.87,0,2,16.099
Sikar,2012,33.66,86.64,131.7,1,2,26.42
Meerut,2013,27.99,78.06,108.94,0,2,21.768
Mangaluru,2017,22.01,83.23,79.05,1,2,31.629
Tezpur,2010,25.66,70.39,347.53,1,2,9.154
Bikaner,2007,27.88,35.82,62.26,0,2,5.769
Patna,2024,28.62,57.22,304.27,0,2,10.18
Rangareddy,1998,26.76,71.43,64.96,1,2,38.415
Silchar,2019,24.61,90.3,19.24,1,2,29.882
Gandhinagar,2023,26.43,81.23,33.64,1,2,22.398
Rangareddy,2021,31.46,69.11,227.25,1,2,11.889
Nadia,1992,28.39,78.02,31.24,0,2,27.286
Gandhinagar,1992,22.95,71.04,1674.27,0,2,18.905
Kanpur,2017,26.76,79.47,45.05,1,2,20.277
Dindigul,2004,34.71,43.24,335.05,1,2,3.909
Sikar,2012,26.53,68.66,151.33,0,2,6.881
Ahmedabad,2000,26.97,48.97,165.46,0,2,2.222
Patna,2021,31.47,66.77,306.96,0,2,8.68
Jorhat,2022,31.29,60.21,330.95,0,2,12.915
Gandhinagar,2013,14.28,75.64,579.39,0,2,16.949
Gaya,2023,33.98,51.8,235.53,0,2,9.377
Rangareddy,2017,24.64,44.65,88.84,0,2,2.561
Junagadh,1996,30.26,74.02,577.62,0,2,7.064
Bareilly,1993,31.11,75.88,34.02,0,2,17.161
Sikar,1990,24.73,84.73,1346.0,0,2,29.826
Dindigul,1990,25.11,84.35,775.63,0,2,13.628
Patna,2009,26.94,80.84,489.8,0,2,5.228
Lucknow,2008,25.01,42.55,228.91,0,2,9.131
Aurangabad,2018,19.94,83.64,978.47,1,2,14.926
Vellore,1999,25.5,53.36,263.7,1,2,7.3
Nagpur,2007,24.96,68.95,255.68,1,2,9.142
Akola,2017,29.25,53.88,53.19,0,2,5.533
Purnia,2024,34.51,36.45,127.32,1,2,4.795
Shivamogga,2020,24.12,83.57,60.53,0,2,22.456
Ajmer,2016,31.24,78.31,66.41,1,2,26.005
Shivamogga,2000,27.97,76.54,15.88,1,2,21.691
Agra,1994,24.11,26.2,134.59,0,2,1.993
Bareilly,1997,21.78,86.29,968.37,0,2,17.057
Goalpara,2023,15.34,74.27,1032.56,1,2,19.801
Nizamabad,2001,26.35,49.5,357.5,0,2,9.196
Thane,1990,34.36,81.58,81.26,0,2,16.944
Bhagalpur,2020,24.21,61.06,350.45,0,2,10.216
Tezpur,1993,24.5,50.8,149.29,0,2,12.587
Alwar,1994,29.15,50.99,404.22,0,2,8.48
Darjeeling,2019,21.91,83.86,1392.66,0,2,17.713
Bikaner,2013,32.54,47.12,41.96,0,2,5.202
Madurai,1992,18.64,69.82,1187.92,0,2,13.899
Darbhanga,2000,31.9,41.19,331.62,0,2,3.051
Churu,1993,27.72,41.35,135.18,0,2,5.808
Bhavnagar,2015,31.87,28.23,269.74,0,2,6.563
Bikaner,2016,29.48,54.42,129.99,0,2,4.832
Belagavi,2016,29.06,56.35,255.48,0,2,4.51
Solapur,1995,29.62,58.46,167.87,0,2,9.757
Nagpur,2004,27.74,65.62,393.43,1,2,14.377
Nagpur,2019,22.92,72.45,414.8,0,2,7.686
Purnia,2024,15.48,76.61,1167.82,0,2,16.593
Salem,2012,25.47,34.1,259.44,0,2,3.972
Nagaon,1995,25.08,78.76,71.73,1,2,29.744
Jamnagar,1993,37.97,59.31,504.05,0,2,8.99
Nagaon,2007,29.98,70.85,32.75,1,2,36.03
Tirunelveli,1998,20.68,78.81,0.0,0,2,14.386
Vadodara,2018,23.79,66.58,238.66,0,2,9.277
Warangal,2002,29.75,60.93,239.91,1,2,10.708
Nadia,2006,27.42,75.82,74.64,1,2,27.812
Guwahati,2021,27.37,62.12,0.0,0,2,12.334
Patna,2011,28.4,70.25,340.47,0,2,13.761
Chitradurga,1993,31.67,42.83,334.34,0,2,6.031
Chennai,1994,28.2,83.98,50.4,1,2,21.42
Aurangabad,2002,24.96,82.16,67.08,0,2,26.827
Kanpur,2023,20.18,59.85,716.62,1,2,13.481
Surat,2011,23.26,70.87,1288.1,1,2,18.608
Howrah,2012,33.02,50.23,191.04,1,2,5.154
Guwahati,1992,28.95,80.67,33.0,1,2,27.125
Coimbatore,2023,33.26,54.4,205.81,0,2,6.024
Chennai,2021,24.41,81.18,75.19,1,2,36.562
Barpeta,2010,25.36,66.5,283.53,1,2,10.38
Mumbai,2010,27.88,78.33,45.02,1,2,30.678
Aurangabad,2000,25.72,48.34,195.27,0,2,5.902
Bengaluru,1993,28.06,49.78,340.62,1,2,8.77
Noida,1990,32.73,53.7,220.71,0,2,8.605
Asansol,2017,28.49,81.36,55.86,0,2,28.357
Nizamabad,2013,28.6,73.92,13.42,1,2,27.039
Murshidabad,2024,23.62,57.72,278.03,1,2,13.168
Bharatpur,2002,23.66,85.02,489.44,0,2,13.19
Noida,2023,23.91,79.04,67.33,1,2,27.689
Malda,2000,27.44,78.46,86.19,0,2,23.869
